7zip 24.09-3
alsa-utils 1.2.14-1
amd-ucode 20250627-1
archipelagomw-bin 0.6.1-1
atuin 18.6.1-1
avaloniailspy-git 7.2rc.r10.gbc00df4-3
base 3-2
base-devel 1-2
beets 2.2.0-1
bemoji-git r64.1b5e9c1-1
bitwarden 2025.4.2-1
bitwarden-cli 2025.5.0-3
bluedevil 1:6.4.2-1
bluez-utils 5.83-1
bzmenu-git 0.2.1.r12.gbf107f9-1
cliphist 1:0.6.1-1
code 1.101.2-1
discord 1:0.0.100-1
discover-overlay-git v0.7.8.r11.gff1cc22-1
dmidecode 3.6-1
dnsmasq 2.91-1
f2fs-tools 1.16.0-3
feishin-git 0.17.0.r10.g4f7b098-1
firefox 140.0.2-1
flatpak 1:1.16.1-1
fuzzel 1.12.0-1
gamescope 3.16.9-1
ghostty 1.1.3-1
gimp 3.0.4-3
git 2.50.0-1
gvfs 1.57.2-4
hexchat 2.16.2-4
htop 3.4.1-1
hyfetch 1.99.0-2
hyprpicker 0.4.5-3
i2c-tools 4.4-2
iperf3 3.19-1
isoimagewriter 25.04.3-1
jq 1.8.1-1
kwalletmanager 25.04.3-1
lact 0.8.0-2
libva-nvidia-driver 0.0.14-1
linux 6.15.4.arch2-1
linux-firmware 20250627-1
linux-headers 6.15.4.arch2-1
lsd 1.1.5-1
ly 1.1.0-1
man-db 2.13.1-1
mangohud 0.8.1-1
mesa-utils 9.0.0-7
meson 1.8.2-2
mpc 0.35-1
mpd 0.24.4-2
mpdris2-rs 1.0.0-0
mpdscribble 0.25-2
navidrome 0.56.1-1
ncmpcpp 0.10.1-4
neovim 0.11.2-3
niri-git 25.05.1.r37.g37458d9-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
nvidia-open 575.64.03-1
nvtop 3.2.0-1
obs-studio 31.0.4-1
openssh 10.0p1-3
pacman-contrib 1.12.0-1
paru 2.0.4-1
paru-debug 2.0.3-1
pipewire-audio 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
poptracker-git 0.32.1.r7.gc8c84d8-1
powerline 2.8.4-3
python-lz4 4.4.4-1
python-pip 25.1.1-1
python-pynvim 0.5.2-1
qbittorrent 5.1.2-1
qpwgraph 0.9.4-1
qt5-wayland 5.15.17+kde+r57-1
r2modman-bin 3.2.1-1
rclone 1.70.2-1
refind 0.14.2-1
reptyr 0.10.0-2
rsync 3.4.1-2
rustup 1.28.2-2
slurp 1.5.0-1
starship 1.23.0-1
steam 1.0.0.82-2
strace 6.15-1
sudo 1.9.17.p1-1
sunshine v2025.628.4510-1
sway-audio-idle-inhibit-git 0.1.2.r48.c40b7b5-1
swaybg 1.2.1-1
swayidle 1.8.0-2
swayimg 4.3-1
swaylock 1.8.2-1
swaync 0.11.0-1
swww 0.10.3-1
tailscale 1.84.0-1
teamspeak6 6.0.0_beta2-1
telegram-desktop 5.16.1-1
thunar 4.20.3-1
timg 1.6.2-1
tmux 3.5_a-1
tree 2.2.1-1
ttf-font-awesome 6.7.2-1
ttf-monofur 1.0-8
ttf-monofur-nerd 3.4.0-1
tumbler 4.20.0-3
umu-launcher 1.2.6-1
unrar 1:7.1.8-1
unzip 6.0-22
uwsm 0.23.0-1
uxplay-git r1239.b527630-1
v4l2loopback-dkms 0.15.0-1
vim 9.1.1497-1
virtualbox 7.1.10-1
virtualbox-host-modules-arch 7.1.10-9
waybar-git 0.13.0.r8.gf409f53-1
wev 1.1.0-1
wf-recorder 0.5.0-2
wget 1.25.0-2
wl-clipboard 1:2.2.1-3
xdg-desktop-portal-gnome 48.0-2
xdg-desktop-portal-gtk 1.15.3-1
xorg-xeyes 1.3.0-2
xorg-xwayland 24.1.8-1
xwayland-satellite-git 0.6.r16.g557ebeb-1
yolk 0.3.2-1
zenith 0.14.1-1
zsa-wally-cli 2.0.1-6
zsh 5.9-5
